FileName1,FileName2,ASPRADistance,TimeToCalculateDistance[ns]
"ASE_00001.txt","ASE_00002.txt",400.0,447937780
"ASE_00001.txt","ASE_00003.txt",6614.0,298551778
"ASE_00001.txt","ASE_00004.txt",9325.0,203269232
"ASE_00001.txt","ASE_00005.txt",12014.0,348948021
"ASE_00001.txt","ASE_00006.txt",9225.0,180052175
"ASE_00001.txt","ASE_00007.txt",11614.0,180329919
"ASE_00001.txt","ASE_00008.txt",11614.0,430900857
"ASE_00001.txt","ASE_00009.txt",4008.0,111814539
"ASE_00001.txt","ASE_00010.txt",13000.0,145593779
"ASE_00001.txt","ASE_00011.txt",6614.0,156378431
"ASE_00001.txt","ASE_00012.txt",13029.0,226422978
"ASE_00001.txt","ASE_00013.txt",6614.0,129260624
"ASE_00001.txt","ASE_00014.txt",6214.0,233757150
"ASE_00001.txt","ASE_00015.txt",6614.0,118522103
"ASE_00001.txt","ASE_00016.txt",13400.0,86545984
"ASE_00001.txt","ASE_00017.txt",9804.0,89875626
"ASE_00001.txt","ASE_00018.txt",16426.0,237460070
"ASE_00001.txt","ASE_00019.txt",6614.0,145939305
"ASE_00001.txt","ASE_00020.txt",10326.0,255486512
"ASE_00002.txt","ASE_00003.txt",6613.0,162008996
"ASE_00002.txt","ASE_00004.txt",8925.0,190985300
"ASE_00002.txt","ASE_00005.txt",12013.0,225055101
"ASE_00002.txt","ASE_00006.txt",8825.0,175265523
"ASE_00002.txt","ASE_00007.txt",11613.0,157762522
"ASE_00002.txt","ASE_00008.txt",11613.0,169987401
"ASE_00002.txt","ASE_00009.txt",3608.0,93209487
"ASE_00002.txt","ASE_00010.txt",12600.0,114987152
"ASE_00002.txt","ASE_00011.txt",6613.0,119888251
"ASE_00002.txt","ASE_00012.txt",13027.0,180923436
"ASE_00002.txt","ASE_00013.txt",6613.0,115379255
"ASE_00002.txt","ASE_00014.txt",6613.0,139286573
"ASE_00002.txt","ASE_00015.txt",6613.0,131341370
"ASE_00002.txt","ASE_00016.txt",13000.0,92598028
"ASE_00002.txt","ASE_00017.txt",9404.0,107161164
"ASE_00002.txt","ASE_00018.txt",16424.0,240435382
"ASE_00002.txt","ASE_00019.txt",6613.0,139056041
"ASE_00002.txt","ASE_00020.txt",10627.0,221794508
"ASE_00003.txt","ASE_00004.txt",6612.0,178594327
"ASE_00003.txt","ASE_00005.txt",11800.0,214059085
"ASE_00003.txt","ASE_00006.txt",6112.0,177482959
"ASE_00003.txt","ASE_00007.txt",5000.0,200967317
"ASE_00003.txt","ASE_00008.txt",5000.0,197154454
"ASE_00003.txt","ASE_00009.txt",8616.0,123546999
"ASE_00003.txt","ASE_00010.txt",11400.0,133623139
"ASE_00003.txt","ASE_00011.txt",0.0,145620173
"ASE_00003.txt","ASE_00012.txt",7740.0,246056711
"ASE_00003.txt","ASE_00013.txt",0.0,155620771
"ASE_00003.txt","ASE_00014.txt",12426.0,208794758
"ASE_00003.txt","ASE_00015.txt",0.0,149818292
"ASE_00003.txt","ASE_00016.txt",12700.0,121405002
"ASE_00003.txt","ASE_00017.txt",9600.0,119934283
"ASE_00003.txt","ASE_00018.txt",9836.0,234165111
"ASE_00003.txt","ASE_00019.txt",0.0,141603055
"ASE_00003.txt","ASE_00020.txt",8340.0,222240315
"ASE_00004.txt","ASE_00005.txt",14512.0,221588101
"ASE_00004.txt","ASE_00006.txt",2800.0,186614761
"ASE_00004.txt","ASE_00007.txt",11512.0,218340670
"ASE_00004.txt","ASE_00008.txt",11512.0,245062757
"ASE_00004.txt","ASE_00009.txt",10516.0,123942885
"ASE_00004.txt","ASE_00010.txt",13200.0,151695765
"ASE_00004.txt","ASE_00011.txt",6612.0,169229211
"ASE_00004.txt","ASE_00012.txt",10552.0,239015956
"ASE_00004.txt","ASE_00013.txt",6612.0,267219650
"ASE_00004.txt","ASE_00014.txt",15436.0,231373602
"ASE_00004.txt","ASE_00015.txt",6612.0,223549274
"ASE_00004.txt","ASE_00016.txt",12400.0,120043243
"ASE_00004.txt","ASE_00017.txt",10300.0,123953661
"ASE_00004.txt","ASE_00018.txt",11445.0,322886127
"ASE_00004.txt","ASE_00019.txt",6612.0,192775402
"ASE_00004.txt","ASE_00020.txt",8352.0,334824530
"ASE_00005.txt","ASE_00006.txt",15636.0,271651784
"ASE_00005.txt","ASE_00007.txt",6800.0,314756132
"ASE_00005.txt","ASE_00008.txt",6800.0,269406308
"ASE_00005.txt","ASE_00009.txt",11808.0,169100335
"ASE_00005.txt","ASE_00010.txt",16400.0,186488913
"ASE_00005.txt","ASE_00011.txt",11800.0,227320245
"ASE_00005.txt","ASE_00012.txt",4640.0,269187826
"ASE_00005.txt","ASE_00013.txt",11800.0,219464498
"ASE_00005.txt","ASE_00014.txt",7432.0,281711840
"ASE_00005.txt","ASE_00015.txt",11800.0,209497361
"ASE_00005.txt","ASE_00016.txt",16400.0,141485834
"ASE_00005.txt","ASE_00017.txt",11424.0,150732156
"ASE_00005.txt","ASE_00018.txt",6436.0,316172680
"ASE_00005.txt","ASE_00019.txt",11800.0,216657413
"ASE_00005.txt","ASE_00020.txt",15140.0,319307069
"ASE_00006.txt","ASE_00007.txt",11112.0,229137937
"ASE_00006.txt","ASE_00008.txt",11112.0,217560302
"ASE_00006.txt","ASE_00009.txt",10016.0,142369015
"ASE_00006.txt","ASE_00010.txt",13800.0,151020288
"ASE_00006.txt","ASE_00011.txt",6112.0,171695695
"ASE_00006.txt","ASE_00012.txt",12552.0,250138882
"ASE_00006.txt","ASE_00013.txt",6112.0,193004716
"ASE_00006.txt","ASE_00014.txt",15336.0,251608719
"ASE_00006.txt","ASE_00015.txt",6112.0,159261033
"ASE_00006.txt","ASE_00016.txt",10400.0,113771273
"ASE_00006.txt","ASE_00017.txt",9103.0,130407593
"ASE_00006.txt","ASE_00018.txt",13045.0,258891971
"ASE_00006.txt","ASE_00019.txt",6112.0,250056896
"ASE_00006.txt","ASE_00020.txt",11152.0,240342510
"ASE_00007.txt","ASE_00008.txt",0.0,293741504
"ASE_00007.txt","ASE_00009.txt",11408.0,166089220
"ASE_00007.txt","ASE_00010.txt",15800.0,197813211
"ASE_00007.txt","ASE_00011.txt",5000.0,212956800
"ASE_00007.txt","ASE_00012.txt",2740.0,283201443
"ASE_00007.txt","ASE_00013.txt",5000.0,258451724
"ASE_00007.txt","ASE_00014.txt",7932.0,222019141
"ASE_00007.txt","ASE_00015.txt",5000.0,181348975
"ASE_00007.txt","ASE_00016.txt",17700.0,123587458
"ASE_00007.txt","ASE_00017.txt",12124.0,147526214
"ASE_00007.txt","ASE_00018.txt",4836.0,338992833
"ASE_00007.txt","ASE_00019.txt",5000.0,208423587
"ASE_00007.txt","ASE_00020.txt",13040.0,298892801
"ASE_00008.txt","ASE_00009.txt",11408.0,170794719
"ASE_00008.txt","ASE_00010.txt",15800.0,187360421
"ASE_00008.txt","ASE_00011.txt",5000.0,196761175
"ASE_00008.txt","ASE_00012.txt",2740.0,259489503
"ASE_00008.txt","ASE_00013.txt",5000.0,339817508
"ASE_00008.txt","ASE_00014.txt",7932.0,255962434
"ASE_00008.txt","ASE_00015.txt",5000.0,203109204
"ASE_00008.txt","ASE_00016.txt",17700.0,117913410
"ASE_00008.txt","ASE_00017.txt",12124.0,126472014
"ASE_00008.txt","ASE_00018.txt",4836.0,285880684
"ASE_00008.txt","ASE_00019.txt",5000.0,168984525
"ASE_00008.txt","ASE_00020.txt",13040.0,262354407
"ASE_00009.txt","ASE_00010.txt",11800.0,94162209
"ASE_00009.txt","ASE_00011.txt",8616.0,101358760
"ASE_00009.txt","ASE_00012.txt",12708.0,146821069
"ASE_00009.txt","ASE_00013.txt",8616.0,99217122
"ASE_00009.txt","ASE_00014.txt",9000.0,126281550
"ASE_00009.txt","ASE_00015.txt",8616.0,108341272
"ASE_00009.txt","ASE_00016.txt",12000.0,71231629
"ASE_00009.txt","ASE_00017.txt",8916.0,76099607
"ASE_00009.txt","ASE_00018.txt",16208.0,181884428
"ASE_00009.txt","ASE_00019.txt",8616.0,106487575
"ASE_00009.txt","ASE_00020.txt",14108.0,150760754
"ASE_00010.txt","ASE_00011.txt",11400.0,122627742
"ASE_00010.txt","ASE_00012.txt",16100.0,182181557
"ASE_00010.txt","ASE_00013.txt",11400.0,123113855
"ASE_00010.txt","ASE_00014.txt",16300.0,171981548
"ASE_00010.txt","ASE_00015.txt",11400.0,127664212
"ASE_00010.txt","ASE_00016.txt",10500.0,88153119
"ASE_00010.txt","ASE_00017.txt",8200.0,93825449
"ASE_00010.txt","ASE_00018.txt",17200.0,207266342
"ASE_00010.txt","ASE_00019.txt",11400.0,126854651
"ASE_00010.txt","ASE_00020.txt",17300.0,205969907
"ASE_00011.txt","ASE_00012.txt",7740.0,197928621
"ASE_00011.txt","ASE_00013.txt",0.0,133137317
"ASE_00011.txt","ASE_00014.txt",12426.0,167646938
"ASE_00011.txt","ASE_00015.txt",0.0,130497165
"ASE_00011.txt","ASE_00016.txt",12700.0,90904372
"ASE_00011.txt","ASE_00017.txt",9600.0,99210819
"ASE_00011.txt","ASE_00018.txt",9836.0,206830769
"ASE_00011.txt","ASE_00019.txt",0.0,143350374
"ASE_00011.txt","ASE_00020.txt",8340.0,222559460
"ASE_00012.txt","ASE_00013.txt",7740.0,240952892
"ASE_00012.txt","ASE_00014.txt",8524.0,280157559
"ASE_00012.txt","ASE_00015.txt",7740.0,245053738
"ASE_00012.txt","ASE_00016.txt",17600.0,150460085
"ASE_00012.txt","ASE_00017.txt",13024.0,156286369
"ASE_00012.txt","ASE_00018.txt",3507.0,333204740
"ASE_00012.txt","ASE_00019.txt",7740.0,219964243
"ASE_00012.txt","ASE_00020.txt",11800.0,289410613
"ASE_00013.txt","ASE_00014.txt",12426.0,185117071
"ASE_00013.txt","ASE_00015.txt",0.0,166955964
"ASE_00013.txt","ASE_00016.txt",12700.0,102418201
"ASE_00013.txt","ASE_00017.txt",9600.0,112589327
"ASE_00013.txt","ASE_00018.txt",9836.0,219699484
"ASE_00013.txt","ASE_00019.txt",0.0,143627681
"ASE_00013.txt","ASE_00020.txt",8340.0,244779649
"ASE_00014.txt","ASE_00015.txt",12426.0,181065107
"ASE_00014.txt","ASE_00016.txt",19100.0,121716143
"ASE_00014.txt","ASE_00017.txt",12116.0,123458909
"ASE_00014.txt","ASE_00018.txt",11022.0,286971141
"ASE_00014.txt","ASE_00019.txt",12426.0,176303233
"ASE_00014.txt","ASE_00020.txt",15009.0,266450955
"ASE_00015.txt","ASE_00016.txt",12700.0,92829442
"ASE_00015.txt","ASE_00017.txt",9600.0,153070561
"ASE_00015.txt","ASE_00018.txt",9836.0,294631273
"ASE_00015.txt","ASE_00019.txt",0.0,185028802
"ASE_00015.txt","ASE_00020.txt",8340.0,239219475
"ASE_00016.txt","ASE_00017.txt",11100.0,76391788
"ASE_00016.txt","ASE_00018.txt",20000.0,211593491
"ASE_00016.txt","ASE_00019.txt",12700.0,123294672
"ASE_00016.txt","ASE_00020.txt",18200.0,168705133
"ASE_00017.txt","ASE_00018.txt",14824.0,197050294
"ASE_00017.txt","ASE_00019.txt",9600.0,120022420
"ASE_00017.txt","ASE_00020.txt",17810.0,157317214
"ASE_00018.txt","ASE_00019.txt",9836.0,225613205
"ASE_00018.txt","ASE_00020.txt",14507.0,336791524
"ASE_00019.txt","ASE_00020.txt",8340.0,233447103
